,firstName,lastName,position,jerseyNum,age,height,weight,overall_rating,awareness_rating,strength_rating,catchInTraffic_rating,pursuit_rating,catching_rating,spinMove_rating,finesseMoves_rating,runBlock_rating,tackle_rating,zoneCoverage_rating,runningStyle_rating,trucking_rating,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,breakSack_rating,jumping_rating,release_rating,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,stamina_rating,kickPower_rating,throwUnderPressure_rating,blockShedding_rating,passBlockFinesse_rating,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,playAction_rating,mediumRouteRunning_rating,acceleration_rating,spectacularCatch_rating,injury_rating,deepRouteRunning_rating,throwAccuracyShort_rating,speed_rating,runBlockPower_rating,toughness_rating,throwOnTheRun_rating,manCoverage_rating,stiffArm_rating,powerMoves_rating,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,passBlock_rating,changeOfDirection_rating,press_rating,throwAccuracyDeep_rating,runBlockFinesse_rating,agility_rating
10,Tremaine,Edmunds,MLB,49,23,77,250,82,85,75,36,92,57,43,73,45,82,65,Long Stride Loose,28,49,87,15,12,85,15,85,6,14,88,20,10,83,45,18,10,17,40,6,5,87,48,93,5,6,87,45,88,6,58,39,61,45,78,48,29,45,80,37,6,45,87
11,Dawson,Knox,TE,88,24,76,257,81,85,69,82,31,87,56,10,67,31,16,Long Stride Default,72,62,14,72,21,84,72,21,23,12,79,14,20,28,60,41,25,53,73,21,69,90,82,83,67,28,87,61,85,25,13,74,10,58,65,71,53,61,76,13,17,66,85
12,Ed,Oliver,DT,91,23,73,287,81,85,89,24,85,31,29,72,45,84,32,Long Stride Default,31,39,83,15,12,86,20,81,6,12,78,15,14,74,45,25,10,30,31,6,8,87,20,92,4,6,83,45,89,6,19,30,80,45,88,32,20,45,71,16,6,45,85
13,Taron,Johnson,CB,24,25,71,192,81,86,63,62,80,70,65,36,40,60,79,Short Stride Loose,22,73,89,38,10,81,28,48,6,11,88,10,11,63,35,25,38,15,63,6,31,92,62,87,24,6,90,35,73,6,82,31,29,40,45,58,50,10,85,73,6,35,85
14,Mitch,Morse,C,60,29,78,305,80,88,92,15,20,40,10,10,78,30,15,Default Stride Awkward,20,10,15,15,12,76,15,20,6,25,82,25,14,20,77,30,10,85,10,6,5,75,15,87,5,6,67,80,85,6,12,30,10,83,87,40,5,81,56,10,6,77,65
15,Devin,Singletary,HB,26,23,67,203,78,78,70,49,37,66,80,10,31,37,15,Default Stride High and Tight,78,89,12,60,27,84,51,21,15,10,89,14,12,25,35,24,73,34,83,17,54,90,45,94,47,21,86,24,90,14,13,78,10,38,41,82,83,54,92,15,12,21,91
16,Levi,Wallace,CB,39,26,72,179,78,76,56,61,72,73,68,40,35,58,77,Default Stride Loose,35,74,74,47,17,80,35,49,6,11,87,10,10,49,35,27,50,14,66,6,42,93,71,88,37,6,90,35,83,6,79,39,37,35,48,65,58,35,88,80,6,35,86
17,Daryl,Williams,RG,75,29,78,330,77,81,87,15,25,25,10,10,80,39,12,Default Stride Awkward,15,10,10,10,12,66,12,25,6,15,79,28,14,39,76,25,11,79,10,6,5,73,12,89,5,6,59,82,83,6,12,10,10,81,83,40,5,79,40,10,6,79,50
18,Mario,Addison,RE,97,33,75,260,76,82,76,38,83,42,55,80,45,81,49,Default Stride Awkward,35,55,77,40,12,82,25,72,6,16,73,37,15,71,45,36,10,15,43,6,30,84,37,90,24,6,78,45,80,6,37,49,70,45,85,54,15,45,68,24,6,45,80
19,Tyler,Bass,K,2,24,70,185,76,63,40,10,31,35,10,10,12,29,12,Short Stride Awkward,10,10,10,10,15,65,12,12,30,77,87,97,14,13,17,27,10,12,10,20,10,85,12,87,10,35,76,12,60,20,12,10,10,17,12,33,5,17,60,10,25,12,67
20,Jon,Feliciano,LG,76,29,76,325,75,88,86,10,25,35,11,10,76,41,12,Default Stride Awkward,25,12,10,10,12,67,12,35,6,17,79,22,12,29,74,23,14,78,14,6,5,73,12,90,5,6,60,79,88,6,12,38,10,76,83,40,6,75,54,10,6,74,66
21,A.J.,Epenesa,RE,57,22,77,265,74,78,84,31,80,49,23,66,45,79,28,Long Stride Default,36,36,77,26,12,79,27,81,6,15,79,22,14,71,45,24,16,16,41,6,22,83,37,92,15,6,78,45,90,6,20,37,75,45,84,51,27,45,66,19,6,45,77
22,Gabriel,Davis,WR,13,22,74,210,74,76,67,81,36,84,74,10,55,33,21,Long Stride Default,57,78,18,78,24,87,77,27,10,15,90,19,19,33,25,31,45,36,81,6,78,89,84,91,79,15,90,37,88,10,14,66,10,31,49,75,74,42,81,18,6,33,83
23,Isaiah,McKenzie,WR,19,26,68,173,74,76,53,74,33,85,86,10,34,22,24,Short Stride Loose,24,90,20,75,23,86,73,16,20,20,80,21,22,22,19,38,84,23,81,15,73,93,77,87,75,27,92,17,66,24,15,35,10,18,43,71,74,34,90,15,15,12,94
24,Zack,Moss,HB,20,23,69,205,74,78,77,52,41,67,79,15,40,34,28,Default,84,81,31,60,33,81,52,28,20,16,85,21,14,33,35,33,35,46,82,13,50,88,51,85,39,25,86,34,89,16,21,80,16,39,48,90,83,52,80,23,15,29,85
25,Justin,Zimmer,DT,61,28,75,300,73,74,90,18,77,33,17,69,45,79,29,Default Stride Awkward,41,24,74,15,12,78,24,76,6,12,72,14,10,71,45,19,10,35,28,6,7,84,20,90,3,6,74,45,86,6,22,33,75,45,83,28,19,45,65,18,6,45,79
26,Matt,Breida,HB,22,26,70,195,73,68,72,52,33,67,74,22,35,38,16,Default,68,84,18,64,20,92,51,31,20,15,77,19,14,31,24,27,59,43,78,18,58,93,53,83,50,25,94,25,77,24,12,66,18,27,41,82,76,51,84,14,17,24,90
27,Matt,Haack,P,3,27,72,205,73,55,52,10,23,33,17,10,20,28,19,Default Stride Loose,18,26,16,10,21,60,12,18,30,78,83,95,22,24,17,57,10,17,25,18,10,85,12,94,10,38,84,18,68,44,14,13,10,19,23,46,14,20,55,12,28,18,67
28,Greg,Rousseau,LE,50,21,79,266,72,70,78,40,82,51,35,67,44,79,44,Long Stride Loose,32,42,67,30,12,83,31,81,6,19,73,20,17,68,44,22,9,29,49,6,26,89,44,87,21,6,83,44,83,6,35,44,74,46,80,48,29,44,68,31,6,45,79
29,Star,Lotulelei,DT,98,31,74,315,72,76,92,30,81,37,35,51,45,84,24,Default Stride Awkward,33,30,77,15,12,74,15,87,6,27,74,28,16,68,45,29,10,37,25,6,7,72,25,88,3,6,56,45,93,6,15,45,73,45,87,48,10,45,52,20,6,45,66
30,Vernon,Butler Jr,DT,94,27,76,330,72,77,83,20,79,32,21,62,45,83,31,Default Stride Loose,37,26,79,14,12,81,17,84,6,19,75,20,11,72,44,22,9,33,28,6,6,79,23,90,3,6,65,44,87,6,21,32,73,46,83,36,17,44,56,22,6,45,63
31,Cody,Ford,RG,74,24,75,329,71,75,88,15,23,23,10,10,75,14,12,Default Stride Awkward,10,10,24,15,12,71,15,20,6,12,83,14,7,14,69,16,10,83,10,6,5,79,15,84,5,6,65,76,88,6,16,10,10,72,82,36,8,71,54,10,6,73,62
32,Efe,Obada,LE,93,29,78,265,71,65,75,35,78,47,29,78,45,77,30,Long Stride Loose,28,36,62,10,12,80,12,76,6,12,76,17,14,67,45,10,10,14,21,6,8,87,39,87,4,6,84,45,89,6,24,31,68,45,78,32,13,45,63,21,6,45,78
33,Harrison,Phillips,DT,99,25,75,307,71,71,90,22,77,27,19,63,45,78,27,Long Stride Loose,38,26,74,15,12,78,15,78,6,11,83,17,15,72,45,26,10,32,30,6,7,80,18,88,3,6,65,45,91,6,19,34,70,45,81,26,24,45,64,11,6,45,75
34,Taiwan,Jones,HB,25,33,72,195,71,77,55,58,62,65,80,24,25,38,68,Default,54,84,58,61,20,84,65,39,30,22,78,22,11,45,18,30,82,27,75,15,55,86,53,88,47,35,90,15,71,15,73,66,15,23,25,77,75,31,89,59,20,20,87
35,A.J.,Klein,LOLB,54,30,73,240,70,84,72,60,79,71,45,49,45,76,60,Long Stride Awkward,54,43,86,20,12,77,25,75,6,15,84,14,15,72,45,20,10,23,65,6,10,85,45,91,6,6,81,45,87,6,54,50,57,45,83,70,30,45,67,52,6,45,73
36,Carlos,Basham Jr,LE,96,23,75,281,70,72,81,30,77,38,26,71,45,73,41,Long Stride Loose,41,29,69,21,12,82,27,81,6,11,82,17,16,74,45,14,10,30,34,6,16,87,31,91,14,6,86,45,90,6,28,38,67,45,78,43,22,45,66,24,6,45,76
37,Jake,Kumerow,WR,15,29,76,209,69,69,65,80,31,84,73,10,61,35,26,Long Stride Loose,51,79,22,71,22,79,72,27,15,15,77,19,19,28,17,36,48,38,73,6,70,87,81,82,73,20,87,34,86,15,20,52,10,20,50,66,73,43,81,17,15,30,87
38,Mitchell,Trubisky,QB,10,27,74,220,69,63,71,33,43,44,70,10,21,35,17,Default,55,79,18,38,82,69,31,32,77,23,80,31,76,24,21,88,10,21,86,78,28,87,29,90,18,82,84,19,86,81,15,57,10,21,31,64,75,18,84,13,77,19,87
39,Reggie,Gilliam,FB,41,24,73,244,69,59,77,53,55,67,54,22,62,49,36,Default,72,60,42,59,20,85,51,46,21,12,83,17,21,39,42,34,38,73,69,10,54,89,53,84,47,26,84,50,86,25,31,69,31,47,65,70,61,59,77,14,16,51,82
40,Ike,Boettger,LG,65,25,78,313,68,86,83,35,33,43,10,10,69,34,12,Default Stride Awkward,25,10,31,26,12,73,33,30,9,11,83,11,10,25,68,15,10,81,10,6,18,75,31,80,15,12,57,68,88,6,11,10,10,72,76,37,5,70,52,10,7,71,63
41,Jaquan,Johnson,FS,46,25,70,190,68,68,62,49,72,67,59,37,35,72,70,Default Stride Loose,41,68,67,31,18,80,17,81,27,15,84,15,25,56,35,41,35,12,67,13,20,88,60,85,12,32,84,35,88,20,65,22,31,35,57,68,55,41,83,62,22,35,84
42,Christian,Wade,HB,45,30,69,196,67,63,68,49,50,66,73,24,35,43,35,Short Stride Default,74,83,26,56,20,83,50,46,24,34,87,37,20,38,26,31,65,33,74,15,51,91,50,85,48,28,90,39,90,26,25,70,18,31,48,84,76,47,84,28,20,36,86
43,Siran,Neal,CB,33,27,72,206,67,60,60,56,73,67,60,48,35,72,71,Default,49,65,62,40,15,94,30,80,6,15,86,18,14,60,35,21,25,15,67,6,35,88,64,92,28,6,87,35,92,6,67,38,41,35,63,63,35,35,82,77,6,35,83
44,Spencer,Brown,RT,79,23,80,314,67,65,91,49,51,55,10,38,70,42,15,Long Stride Awkward,35,10,33,33,12,77,23,45,6,25,82,25,10,34,62,23,10,86,27,6,14,84,55,89,5,6,74,73,85,6,12,30,49,67,90,50,24,65,57,10,6,67,76
45,Damar,Hamlin,SS,31,23,73,201,66,69,62,62,77,67,63,38,35,61,66,Default Stride Loose,42,68,68,37,14,84,38,72,6,20,89,20,18,50,35,25,51,32,66,6,33,92,65,86,31,6,86,35,77,6,59,45,33,35,61,63,49,35,77,61,6,35,86
46,Dane,Jackson,CB,30,24,71,180,66,65,54,49,74,63,67,40,35,55,70,Default Stride Loose,35,73,63,34,40,84,35,54,32,34,87,44,33,52,35,50,50,14,70,27,30,89,65,88,24,36,87,35,85,34,68,39,37,35,51,65,56,35,89,74,35,35,87
47,Tyler,Matakevich,MLB,44,28,73,235,66,71,75,49,78,68,35,63,45,83,58,Default,40,44,70,20,12,76,25,78,6,15,90,14,14,63,45,20,10,14,53,6,10,85,40,91,6,6,77,45,93,6,46,37,63,45,74,65,30,45,70,55,6,45,76
48,Andre,Smith Jr,ROLB,9,24,72,240,65,54,72,40,79,59,29,55,45,82,58,Default Stride Loose,46,34,57,10,12,79,20,84,6,12,89,16,12,68,45,30,10,19,45,6,6,89,35,86,5,6,84,45,81,6,45,37,56,45,77,51,31,45,73,46,6,45,73
49,Bobby,Hart,RT,68,27,77,310,65,83,84,15,39,42,10,10,71,40,12,Default Stride Awkward,25,10,10,15,12,68,15,20,6,21,75,25,11,40,68,35,15,72,10,6,5,70,15,93,5,6,50,70,80,6,12,10,10,70,75,45,5,69,40,10,6,73,51
50,Bryan,Cox Jr,RE,51,27,75,270,65,63,79,32,79,38,21,69,45,80,42,Long Stride Default,34,38,60,16,12,67,13,85,6,15,73,25,10,57,45,20,10,12,42,6,9,82,28,83,5,6,75,45,78,6,35,43,59,45,81,31,19,45,61,24,6,45,72
51,Marquez,Stevenson,WR,5,23,70,182,65,65,54,75,33,79,78,10,38,23,19,Default,39,79,17,70,26,82,58,17,10,15,82,21,19,23,18,26,84,21,83,6,69,89,76,85,71,15,91,15,76,10,14,41,10,16,37,70,71,26,87,14,6,21,88
52,Cam,Lewis,CB,47,24,69,183,64,63,51,45,74,60,60,35,35,59,63,Short Stride Loose,19,73,61,22,10,78,30,60,6,13,91,14,15,53,35,35,47,17,71,6,12,89,58,88,10,6,89,35,83,6,63,33,32,35,50,60,52,35,86,69,6,35,91
53,Tommy,Sweeney,TE,89,26,77,251,64,62,73,76,30,79,59,17,62,27,21,Long Stride Default,67,66,20,61,11,78,64,25,20,19,78,21,10,26,56,30,18,54,64,20,58,83,74,89,53,25,76,63,85,26,14,59,17,58,66,73,58,56,75,17,14,60,77
54,Tyrel,Dodson,MLB,53,23,72,237,63,63,74,24,76,60,30,58,45,77,57,Default Stride Loose,33,32,66,10,12,84,12,79,6,13,85,18,10,67,45,34,10,17,31,6,5,88,50,88,5,6,86,45,88,6,54,25,51,45,75,45,20,45,70,31,6,45,74
55,Jamil,Douglas,LG,77,29,76,308,61,74,86,15,21,40,22,15,63,34,15,Default Stride Awkward,29,20,10,10,12,72,20,21,6,25,84,25,10,21,60,24,10,83,15,6,5,76,15,93,5,6,62,62,65,6,12,15,15,64,80,25,11,61,53,10,6,64,66
56,Tommy,Doyle,LT,72,23,80,320,60,64,86,15,44,30,10,31,65,39,16,Default Stride Awkward,25,10,39,15,12,81,15,47,6,11,84,21,10,39,59,24,10,75,10,6,5,80,15,85,5,6,68,69,88,6,14,10,43,63,83,35,5,62,52,10,6,62,69
57,Ryan,Bates,C,71,24,76,302,56,56,86,16,27,20,10,10,65,31,12,Long Stride Awkward,30,15,10,10,12,68,12,27,6,12,82,15,14,26,64,17,11,75,12,6,8,84,14,89,5,6,69,62,87,6,12,20,10,61,77,26,11,63,57,10,6,66,71
58,Reid,Ferguson,TE,69,27,74,235,36,62,65,54,48,55,47,17,50,29,21,Long Stride Loose,46,51,22,51,11,69,48,27,16,19,79,21,10,39,40,27,18,35,45,17,47,81,51,91,42,18,69,40,83,19,14,52,17,50,46,52,43,54,65,17,13,35,65
