,INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
13,13,Brandon,Parker,5,75,80,320,OL,60,10,21,17,73,7,17,12,30,31,22,91,74,57,14,30,94,0,0,1,0,25,82,93,74
14,14,Maxx,Crosby,5,98,77,265,DL,85,27,41,33,46,6,17,12,77,85,22,83,91,82,27,79,90,0,1,0,0,24,79,269,84
15,15,Johnathan,Hankins,5,90,75,340,DL,59,10,45,20,47,8,11,10,72,84,10,78,89,62,24,65,90,1,0,1,0,29,76,207,97
16,16,Solomon,Thomas,5,92,75,280,DL,82,10,40,27,46,8,16,11,73,81,18,76,73,80,36,81,95,0,1,0,1,26,83,145,63
17,17,Yannick,Ngakoue,5,91,74,246,DL,81,20,44,31,45,8,21,19,64,82,22,85,90,83,48,82,89,1,1,1,0,26,89,262,65
18,18,K.J.,Wright,5,34,76,246,LB,79,20,55,51,48,7,27,23,78,87,20,92,80,78,68,87,92,1,0,0,1,32,75,18,67
19,19,Nick,Kwiatkoski,5,44,74,242,LB,80,11,42,44,46,8,22,29,75,86,25,85,86,82,68,79,90,1,1,1,1,28,92,304,99
20,20,Denzel,Perryman,1,52,71,240,LB,80,10,65,33,48,8,20,20,72,83,25,84,77,79,60,89,71,0,1,1,0,28,86,269,86
21,21,Cory,Littleton,5,42,75,228,LB,82,31,44,42,44,6,22,29,70,84,18,92,84,80,64,74,86,1,0,1,1,27,76,35,93
22,22,Casey,Hayward Jr,5,29,71,192,DB,88,60,55,67,34,8,22,24,55,63,30,95,96,90,92,51,87,0,0,1,0,31,87,9,56
23,23,Desmond,Trufant,5,10,72,190,DB,90,63,54,63,35,6,25,25,55,69,22,93,77,93,76,42,95,1,0,0,0,30,92,235,63
24,24,Johnathan,Abram,5,24,72,205,DB,92,52,64,52,35,32,29,21,60,70,53,89,76,84,69,91,88,1,1,0,0,24,77,65,56
25,25,Trevon,Moehrig,5,25,73,202,DB,90,51,64,69,36,8,21,21,55,67,22,88,78,82,75,89,91,1,0,1,1,22,89,69,67
26,26,Trayvon,Mullen Jr,5,27,74,200,DB,90,55,64,65,35,7,19,11,52,62,28,92,84,85,82,60,86,1,0,1,0,23,80,224,84
27,27,Nate,Hobbs,5,39,72,195,DB,90,51,58,60,36,7,15,14,54,60,27,89,73,88,73,64,90,0,1,0,0,22,88,59,80
28,28,Daniel,Carlson,1,2,77,215,K,74,13,41,20,18,20,95,81,18,26,26,83,60,61,14,18,91,0,0,0,1,26,95,147,100
29,29,A.J.,Cole III,5,6,76,220,P,65,10,31,22,13,24,96,85,10,37,29,83,70,64,20,35,90,0,0,0,0,25,82,159,55
30,30,Marcus,Mariota,5,8,76,222,QB,88,71,66,39,23,78,40,36,25,28,87,70,67,88,17,25,81,1,1,1,0,27,78,250,67
31,31,Kenyan,Drake,3,23,73,211,RB,91,81,88,57,39,21,21,20,26,33,26,89,81,89,16,21,84,0,0,1,0,27,93,56,89
32,32,Jalen,Richard,5,30,68,205,RB,89,80,84,60,38,19,21,20,26,39,27,88,75,86,16,23,88,1,0,0,0,27,90,146,63
33,33,Peyton,Barber,5,31,71,225,RB,87,76,90,55,39,17,21,20,26,33,31,85,75,84,16,21,88,0,0,0,1,27,85,95,90
34,34,Foster,Moreau,5,87,76,250,TE,82,61,75,79,58,13,17,13,37,33,25,82,75,82,13,31,89,1,1,1,1,24,72,235,55
35,35,Derek,Carrier,5,85,75,240,TE,84,60,75,75,57,10,15,19,40,39,29,78,62,86,23,35,85,0,0,0,1,31,86,180,86
36,36,Jackson,Barton,5,78,79,302,OL,66,5,35,28,65,7,21,11,40,40,16,83,55,61,12,35,89,1,0,0,1,26,74,149,60
37,37,John,Simpson,5,76,76,321,OL,64,12,42,20,72,7,35,22,27,31,14,85,76,52,12,38,89,0,0,1,0,24,67,274,67
38,38,Andre,James,5,68,76,300,OL,62,7,37,23,71,6,22,21,39,32,25,85,83,58,14,20,87,1,1,1,0,24,85,90,70
39,39,Alex,Leatherwood,5,70,77,312,OL,72,8,27,21,74,7,13,12,34,26,12,86,70,68,11,27,95,1,0,0,1,22,90,323,57
40,40,Malcolm,Koonce,5,51,74,249,DL,79,30,52,45,46,7,20,17,68,78,26,77,55,82,42,78,91,1,0,0,0,23,97,291,87
41,41,Quinton,Jefferson,5,77,76,291,DL,73,10,39,22,47,6,21,20,71,84,10,76,84,66,20,76,86,0,1,0,0,28,83,86,93
42,42,Gerald,McCoy,1,93,76,300,DL,68,12,40,18,49,8,12,11,74,82,15,83,65,74,28,85,75,0,1,0,1,33,82,80,64
43,43,Clelin,Ferrell,1,99,76,265,DL,82,13,30,26,45,6,19,13,73,83,26,74,79,77,23,80,87,0,0,1,1,24,79,93,86
44,44,Carl,Nassib,5,94,79,275,DL,76,28,33,42,45,8,20,19,72,77,22,73,81,75,37,77,89,0,1,1,0,28,93,179,88
45,45,Marquel,Lee,5,55,75,235,LB,79,23,49,45,44,6,20,20,74,82,25,81,63,78,51,79,93,0,0,0,0,25,85,38,84
46,46,Patrick,Onwuasor,5,48,72,227,LB,84,29,48,57,44,6,20,17,74,83,25,88,77,82,62,84,87,0,0,0,0,29,74,102,70
47,47,Nicholas,Morrow,5,50,72,225,LB,87,33,63,63,42,12,21,18,67,80,27,90,76,83,59,72,79,0,1,0,0,26,78,19,79
48,48,Divine,Deablo,5,5,75,226,LB,91,56,62,68,39,8,14,11,63,75,23,87,65,83,64,88,91,0,0,0,0,23,75,128,71
49,49,Amik,Robertson,1,21,68,187,DB,89,56,64,68,22,30,11,10,52,53,39,88,61,91,66,62,83,0,0,1,1,23,94,177,65
50,50,Brandon,Facyson,3,35,74,197,DB,88,54,59,58,34,7,8,10,55,55,26,91,68,83,67,61,82,0,0,0,1,26,78,226,82
51,51,Keisean,Nixon,5,22,70,200,DB,92,52,59,61,34,6,16,14,55,59,29,90,50,80,63,64,84,1,0,1,0,24,96,276,85
52,52,Roderic,Teamer Jr,5,33,71,205,DB,86,50,60,62,35,14,20,20,52,67,25,88,68,82,69,79,84,0,0,1,1,24,91,207,90
